siteId,siteName,operator,technology,region,city,address,latitude,longitude,towerType,vendor,status,commissioningDate,notes
ZRT1133,ZRT1133__S_ziarat 1 warid_MDQU6322,Jazz,2G,South,ZIARAT,,30.3846,67.7232,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZOB0951,ZOB0951__S_Zhob1 warid_MDQS6317,Jazz,2G,South,ZHOB,,31.3431,69.4608,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZOB0952,ZOB0952__S_Zhob 5 warid_MDQS6321,Jazz,2G,South,ZHOB,,31.3394,69.4229,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZOB5440,ZOB5440__S_ZHOBE CITY,Jazz,2G+4G,South,ZHOB,,31.342,69.4548,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZOB5441,ZOB5441__S_ZHOBE HIGHWAY,Jazz,2G+4G,South,ZHOB,,31.3393,69.4405,Outdoor,ZTE,Active,,Type: Macro; Priority: Gold
ZOB6559,ZOB6559__S_Musakhel 1 warid_MDQS6185,Jazz,2G,South,MUSA KHEL BAZAR,,30.8601,69.8227,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZOB6560,ZOB6560__S_Janan_House_Jail_Roadoad Pata E451,Jazz,2G+4G,South,ZHOB,,31.338,69.449,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
HGW5246,HGW5246_Near Bershoor,Jazz,2G+4G,South,KHANOZAI,,30.77406,67.32692,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
MBH5107,MBH5107_Near Torgash Narai,Jazz,2G+4G,South,MUSLIM BAGH,,30.879392,67.416907,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
MBH5067,MBH5067_Near Tora Tang Road,Jazz,2G+4G,South,MUSLIM BAGH,,30.947498,67.467551,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
HGW4907,HGW4907_Sarwar Khan Rd,Jazz,2G+4G,South,KHANOZAI,,30.8284,67.24265,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
MBH5127,MBH5127_Kutt Muhammad Shah,Jazz,2G+4G,South,MUSLIM BAGH,,30.9019,67.34427,Outdoor,ZTE,Active,,Type: Macro; Priority: Bronze
ZBI3894,ZBI3894__S_Zarobi_Town_Sawabi_SB2817,Jazz,2G+4G,North,TOPI,,34.0341,72.5667,Outdoor,Huawei,Active,,Type: Macro; Priority: Bronze
ZIK2696,ZIK2696__S_AhmedKhel,Jazz,2G+4G,North,LAKKI MARWAT,,32.4461,70.9679,Outdoor,Huawei,Active,,Type: Macro; Priority: Bronze
ZDA1436,ZDA1436__S_JahangSwabi,Jazz,2G+4G,North,ZAIDA,,34.0483,72.4195,Outdoor,Huawei,Active,,Type: Macro; Priority: Diamond
ZDA1945,ZDA1945__S_Zaida_2,Jazz,2G+4G,North,ZAIDA,,34.0734,72.4492,Outdoor,Huawei,Active,,Type: Macro; Priority: Platinum
ZDA3896,ZDA3896__S_Zaida_SB3352,Jazz,2G+4G,North,ZAIDA,,34.0601,72.4674,Outdoor,Huawei,Active,,Type: Macro; Priority: Platinum
ZDA2498,ZDA2498__S_Village_Anbar_541621,Jazz,2G+4G,North,ZAIDA,,34.0435,72.409,Outdoor,Huawei,Active,,Type: Macro; Priority: Diamond
RUR7729,RUR7729__S_BastiMuhammadShah,Jazz,2G+4G,Central B,KHANPUR,,28.8047,70.5414,Outdoor,ZTE,Active,,Type: Macro; Priority: Hub
RUR3894,RUR3894__S_Khanpur Zahir Pir Road_Enfra,Jazz,2G+4G,Central B,KHANPUR,,28.76902,70.55357,Outdoor,ZTE,Active,,Type: Macro; Priority: Diamond
RUR4727,RUR4727_Near Sufi Mohd Shrine Zahir Pir,Jazz,2G+4G,Central B,KHANPUR,,28.813562,70.526833,Outdoor,ZTE,Active,,Type: Macro; Priority: Diamond
CCH5937,CCH5937,Jazz,2G+4G,Central B,KHANPUR,,28.86875,70.547882,Outdoor,ZTE,Active,,Type: Macro; Priority: Diamond
ZAS7505,ZAS7505__S_Zaheer_Abad_Shaheed,Jazz,2G+4G,Central B,MAILSI,,30.0776,72.0429,Outdoor,ZTE,Active,,Type: Macro; Priority: Platinum
ZAS7503,ZAS7503__H_Chak75B,Jazz,2G+4G,Central B,KHANEWAL,,30.1117,72.0837,Indoor,ZTE,Active,,Type: Macro; Priority: Diamond
